Sum of revenue,,state,,,category_name,state,Sum of revenue,Sum of total_units,,city,state,product_name,category_name,Sum of revenue,,,city,state,product_name,category_name,Sum of revenue
product_name,category_name,CA,NY,TX,Mountain Bikes,CA,627602.16,388,,San Angelo,TX,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,539.98,,,Palos Verdes Peninsula,CA,Electra Amsterdam Fashion 7i Ladies' - 2017,Cruisers Bicycles,2199.98
Trek Slash 8 27.5 - 2016,Mountain Bikes,127999.68,403998.99,83999.79,,NY,2054581.51,1170,,,,Electra Cruiser 1 (24-Inch) - 2016 Total,,539.98,,,,,Electra Amsterdam Fashion 7i Ladies' - 2017 Total,,2199.98
Trek Slash 8 27.5 - 2016 Total,,127999.68,403998.99,83999.79,,TX,348592.04,197,,,,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,269.99,,,,,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,539.98
Trek Conduit+ - 2016,Electric Bikes,116999.61,278999.07,38999.87,Mountain Bikes Total,,3030775.71,1755,,,,,Cruisers Bicycles,539.98,,,,,Electra Girl's Hawaii 1 (16-inch) - 2015/2016 Total,,539.98
Trek Conduit+ - 2016 Total,,116999.61,278999.07,38999.87,Road Bikes,CA,340008.91,113,,,,Electra Girl's Hawaii 1 (16-inch) - 2015/2016 Total,,809.97,,,,,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,299.99
Trek Fuel EX 8 29 - 2016,Mountain Bikes,89899.69,263899.09,60899.79,,NY,1270561.41,374,,,,"Electra Girl's Hawaii 1 16"" - 2017",Cruisers Bicycles,299.99,,,,,Electra Girl's Hawaii 1 (20-inch) - 2015/2016 Total,,299.99
Trek Fuel EX 8 29 - 2016 Total,,89899.69,263899.09,60899.79,,TX,241985.28,72,,,,"Electra Girl's Hawaii 1 16"" - 2017 Total",,299.99,,,,,"Electra Girl's Hawaii 1 16"" - 2017",Children Bicycles,1499.95
Surly Straggler 650b - 2016,Cyclocross Bicycles,63877.62,169779.99,20171.88,Road Bikes Total,,1852555.6,559,,,,Electra Townie 3i EQ (20-inch) - Boys' - 2017,Children Bicycles,489.99,,,,,"Electra Girl's Hawaii 1 16"" - 2017 Total",,1499.95
Surly Straggler 650b - 2016 Total,,63877.62,169779.99,20171.88,Cruisers Bicycles,CA,231683.41,422,,,,Electra Townie 3i EQ (20-inch) - Boys' - 2017 Total,,489.99,,,,,Electra Moto 3i (20-inch) - Boy's - 2017,Children Bicycles,699.98
Trek Domane SLR 6 Disc - 2017,Road Bikes,16499.97,164999.7,54999.9,,NY,759486.61,1396,,,,Electra Townie Commute 27D Ladies - 2018,Comfort Bicycles,1799.98,,,,,Electra Moto 3i (20-inch) - Boy's - 2017 Total,,699.98
Trek Domane SLR 6 Disc - 2017 Total,,16499.97,164999.7,54999.9,,TX,117981.02,245,,,,Electra Townie Commute 27D Ladies - 2018 Total,,1799.98,,,,,Electra Townie 7D (20-inch) - Boys' - 2017,Children Bicycles,679.98
Surly Straggler - 2016,Cyclocross Bicycles,55764,154900,17039,Cruisers Bicycles Total,,1109151.04,2063,,,,Electra Townie Commute 8D Ladies' - 2018,Cruisers Bicycles,1399.98,,,,,Electra Townie 7D (20-inch) - Boys' - 2017 Total,,679.98
Surly Straggler - 2016 Total,,55764,154900,17039,Electric Bikes,CA,246439.2,80,,,,Electra Townie Commute 8D Ladies' - 2018 Total,,1399.98,,,,,Electra Townie Commute Go! - 2018,Electric Bikes,2999.99
Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,59399.67,151199.16,14399.92,,NY,667417.98,202,,,,Electra Townie Original 21D - 2016,Comfort Bicycles,2199.96,,,,,Electra Townie Commute Go! - 2018 Total,,2999.99
Trek Remedy 29 Carbon Frameset - 2016 Total,,59399.67,151199.16,14399.92,,TX,106379.67,33,,,,Electra Townie Original 21D - 2016 Total,,2199.96,,,,,Electra Townie Original 21D - 2016,Cruisers Bicycles,549.99
